movie,imdb,year,award_year,directors,companies,male_cast,female_cast
Wings,tt0018578,1927,1929,"William A. Wellman, Harry d’Abbadie d’Arrast",Paramount Pictures,12,5
The Broadway Melody,tt0019729,1929,1930,Harry Beaumont,Metro-Goldwyn-Mayer,4,3
All Quiet on the Western Front,tt0020629,1930,1930,"Lewis Milestone, Nate Watt",Universal Pictures,22,6
Cimarron,tt0021746,1931,1931,Wesley Ruggles,RKO Pictures,13,6
Grand Hotel,tt0022958,1932,1932,Edmund Goulding,Metro-Goldwyn-Mayer,19,8
It Happened One Night,tt0025316,1934,1935,Frank Capra,Columbia Pictures,25,6
Mutiny on the Bounty,tt0026752,1935,1936,Frank Lloyd,Metro-Goldwyn-Mayer,25,5
The Great Ziegfeld,tt0027698,1936,1937,Robert Zigler Leonard,Metro-Goldwyn-Mayer,22,17
The Life of Emile Zola,tt0029146,1937,1938,William Dieterle,Warner Bros.,21,5
You Can't Take It With You,tt0030993,1938,1939,Frank Capra,Columbia Pictures,29,9
Gone with the Wind,tt0031381,1939,1940,"George Cukor, Victor Fleming, Sam Wood","Metro-Goldwyn-Mayer, Selznick International Pictures",52,20
Rebecca,tt0032976,1940,1941,Alfred Hitchcock,Selznick International Pictures,14,4
How Green Was My Valley,tt0033729,1941,1942,John Ford,20th Century Studios,16,10
Casablanca,tt0034583,1942,1944,Michael Curtiz,Warner Bros.,40,8
Mrs. Miniver,tt0035093,1942,1943,William Wyler,Metro-Goldwyn-Mayer,16,3
Going My Way,tt0036872,1944,1945,Leo McCarey,Paramount Pictures,11,4
The Lost Weekend,tt0037884,1945,1946,Billy Wilder,Paramount Pictures,7,4
The Best Years of Our Lives,tt0036868,1946,1947,William Wyler,"RKO Pictures, Samuel Goldwyn Productions",24,9
Gentleman's Agreement,tt0039416,1947,1948,Elia Kazan,20th Century Studios,16,9
Hamlet,tt0040416,1948,1949,Laurence Olivier,Two Cities Films,18,2
All About Eve,tt0042192,1950,1951,Joseph L. Mankiewicz,20th Century Studios,11,7
All the King's Men,tt0041113,1950,1950,Robert Rossen,Columbia Pictures,11,4
An American in Paris,tt0043278,1951,1952,Vincente Minnelli,Metro-Goldwyn-Mayer,5,6
The Greatest Show on Earth,tt0044672,1952,1953,Cecil B. DeMille,Paramount Pictures,21,8
